Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
-15.0,91,20.5,90.0,overcast,981.13,8,Winter,1.5,inland,Snowy
39.0,62,4.5,1.0,clear,1012.17,9,Summer,9.5,mountain,Sunny
-7.0,91,15.0,81.0,partly cloudy,988.76,1,Winter,3.5,mountain,Snowy
-8.0,76,12.5,50.0,overcast,992.61,0,Winter,3.0,inland,Snowy
18.0,56,5.5,25.0,partly cloudy,1003.8,1,Winter,7.0,coastal,Cloudy
-7.0,71,3.0,85.0,overcast,995.55,1,Winter,1.5,mountain,Snowy
14.0,63,13.0,92.0,overcast,986.75,3,Summer,18.0,coastal,Snowy
18.0,93,17.5,53.0,overcast,1011.92,1,Summer,2.0,mountain,Rainy
29.0,54,10.0,37.0,partly cloudy,1000.48,1,Summer,8.5,mountain,Cloudy
24.0,94,9.0,86.0,overcast,1000.08,2,Summer,4.5,inland,Rainy
-5.0,73,19.5,60.0,overcast,991.6,1,Winter,3.0,mountain,Snowy
-17.0,31,8.5,26.0,partly cloudy,1003.68,1,Winter,19.0,inland,Cloudy
43.0,38,7.5,19.0,clear,1011.58,9,Autumn,7.0,mountain,Sunny
18.0,87,11.0,88.0,clear,1012.39,4,Autumn,2.5,inland,Sunny
20.0,56,9.5,36.0,partly cloudy,1005.56,2,Spring,8.0,inland,Cloudy
-7.0,70,15.5,89.0,overcast,994.56,1,Winter,3.0,inland,Snowy
32.0,60,11.0,49.0,partly cloudy,1007.94,1,Autumn,6.5,mountain,Cloudy
-2.0,64,14.0,73.0,overcast,985.08,0,Winter,5.0,mountain,Snowy
0.0,83,18.5,78.0,overcast,992.31,1,Winter,4.0,mountain,Snowy
17.0,62,14.0,85.0,partly cloudy,991.8,1,Spring,2.5,mountain,Rainy
19.0,93,11.0,78.0,overcast,993.24,3,Summer,5.0,mountain,Rainy
19.0,64,14.5,48.0,partly cloudy,1004.4,2,Summer,6.5,mountain,Cloudy
-7.0,86,22.0,88.0,overcast,985.6,6,Winter,1.0,inland,Snowy
11.0,93,9.0,70.0,partly cloudy,995.55,3,Winter,3.0,mountain,Rainy
-6.0,86,2.0,96.0,overcast,996.15,0,Winter,3.0,inland,Snowy
1.0,80,2.5,95.0,overcast,991.59,0,Winter,1.5,mountain,Snowy
-7.0,88,12.5,98.0,overcast,980.31,1,Winter,3.0,inland,Snowy
-9.0,79,2.5,56.0,overcast,995.49,1,Winter,3.0,mountain,Snowy
18.0,77,15.0,62.0,partly cloudy,1003.14,0,Spring,5.0,coastal,Rainy
23.0,59,10.5,32.0,partly cloudy,1008.34,3,Winter,6.5,inland,Cloudy
-3.0,73,8.0,72.0,overcast,987.45,1,Winter,2.0,mountain,Snowy
-10.0,70,17.0,67.0,overcast,993.83,1,Winter,2.5,inland,Snowy
12.0,73,12.5,93.0,overcast,1001.51,2,Autumn,4.5,coastal,Rainy
