Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,Temp_Humidity_Interaction,Wind_Speed_Precipitation_Interaction,Humidity_Visibility_Interaction,UV_Index_log,Wind_Speed_log,Visibility_log,Temperature_cat,Humidity_cat,Wind_Speed_cat
-15.0,91,20.5,90.0,overcast,981.13,8,Winter,1.5,inland,Snowy,-1365.0,1845.0,36.4,2.1972245773362196,3.068052935133617,0.9162907318741551,Freezing,High,Breezy
39.0,62,4.5,1.0,clear,1012.17,9,Summer,9.5,mountain,Sunny,2418.0,4.5,5.904761904761905,2.302585092994046,1.7047480922384253,2.3513752571634776,Hot,High,Calm
-7.0,91,15.0,81.0,partly cloudy,988.76,1,Winter,3.5,mountain,Snowy,-637.0,1215.0,20.22222222222222,0.6931471805599453,2.772588722239781,1.5040773967762742,Freezing,High,Breezy
-8.0,76,12.5,50.0,overcast,992.61,0,Winter,3.0,inland,Snowy,-608.0,625.0,19.0,0.0,2.6026896854443837,1.3862943611198906,Freezing,High,Breezy
18.0,56,5.5,25.0,partly cloudy,1003.8,1,Winter,7.0,coastal,Cloudy,1008.0,137.5,7.0,0.6931471805599453,1.8718021769015913,2.0794415416798357,Moderate,Medium,Calm
-7.0,71,3.0,85.0,overcast,995.55,1,Winter,1.5,mountain,Snowy,-497.0,255.0,28.4,0.6931471805599453,1.3862943611198906,0.9162907318741551,Freezing,High,Calm
14.0,63,13.0,92.0,overcast,986.75,3,Summer,18.0,coastal,Snowy,882.0,1196.0,3.3157894736842106,1.3862943611198906,2.6390573296152584,2.9444389791664403,Cold,High,Breezy
18.0,93,17.5,53.0,overcast,1011.92,1,Summer,2.0,mountain,Rainy,1674.0,927.5,31.0,0.6931471805599453,2.917770732084279,1.0986122886681098,Moderate,High,Breezy
29.0,54,10.0,37.0,partly cloudy,1000.48,1,Summer,8.5,mountain,Cloudy,1566.0,370.0,5.684210526315789,0.6931471805599453,2.3978952727983707,2.2512917986064953,Hot,Medium,Calm
24.0,94,9.0,86.0,overcast,1000.08,2,Summer,4.5,inland,Rainy,2256.0,774.0,17.09090909090909,1.0986122886681098,2.302585092994046,1.7047480922384253,Moderate,High,Calm
-5.0,73,19.5,60.0,overcast,991.6,1,Winter,3.0,mountain,Snowy,-365.0,1170.0,18.25,0.6931471805599453,3.0204248861443626,1.3862943611198906,Freezing,High,Breezy
-17.0,31,8.5,26.0,partly cloudy,1003.68,1,Winter,19.0,inland,Cloudy,-527.0,221.0,1.55,0.6931471805599453,2.2512917986064953,2.995732273553991,Freezing,Medium,Calm
43.0,38,7.5,19.0,clear,1011.58,9,Autumn,7.0,mountain,Sunny,1634.0,142.5,4.75,2.302585092994046,2.1400661634962708,2.0794415416798357,Hot,Medium,Calm
18.0,87,11.0,88.0,clear,1012.39,4,Autumn,2.5,inland,Sunny,1566.0,968.0,24.857142857142858,1.6094379124341003,2.4849066497880004,1.252762968495368,Moderate,High,Breezy
20.0,56,9.5,36.0,partly cloudy,1005.56,2,Spring,8.0,inland,Cloudy,1120.0,342.0,6.222222222222222,1.0986122886681098,2.3513752571634776,2.1972245773362196,Moderate,Medium,Calm
-7.0,70,15.5,89.0,overcast,994.56,1,Winter,3.0,inland,Snowy,-490.0,1379.5,17.5,0.6931471805599453,2.803360380906535,1.3862943611198906,Freezing,High,Breezy
32.0,60,11.0,49.0,partly cloudy,1007.94,1,Autumn,6.5,mountain,Cloudy,1920.0,539.0,8.0,0.6931471805599453,2.4849066497880004,2.0149030205422647,Hot,Medium,Breezy
-2.0,64,14.0,73.0,overcast,985.08,0,Winter,5.0,mountain,Snowy,-128.0,1022.0,10.666666666666666,0.0,2.70805020110221,1.791759469228055,Freezing,High,Breezy
0.0,83,18.5,78.0,overcast,992.31,1,Winter,4.0,mountain,Snowy,0.0,1443.0,16.6,0.6931471805599453,2.970414465569701,1.6094379124341003,Freezing,High,Breezy
17.0,62,14.0,85.0,partly cloudy,991.8,1,Spring,2.5,mountain,Rainy,1054.0,1190.0,17.714285714285715,0.6931471805599453,2.70805020110221,1.252762968495368,Moderate,High,Breezy
19.0,93,11.0,78.0,overcast,993.24,3,Summer,5.0,mountain,Rainy,1767.0,858.0,15.5,1.3862943611198906,2.4849066497880004,1.791759469228055,Moderate,High,Breezy
19.0,64,14.5,48.0,partly cloudy,1004.4,2,Summer,6.5,mountain,Cloudy,1216.0,696.0,8.533333333333333,1.0986122886681098,2.740840023925201,2.0149030205422647,Moderate,High,Breezy
-7.0,86,22.0,88.0,overcast,985.6,6,Winter,1.0,inland,Snowy,-602.0,1936.0,43.0,1.9459101490553132,3.1354942159291497,0.6931471805599453,Freezing,High,Breezy
11.0,93,9.0,70.0,partly cloudy,995.55,3,Winter,3.0,mountain,Rainy,1023.0,630.0,23.25,1.3862943611198906,2.302585092994046,1.3862943611198906,Cold,High,Calm
-6.0,86,2.0,96.0,overcast,996.15,0,Winter,3.0,inland,Snowy,-516.0,192.0,21.5,0.0,1.0986122886681098,1.3862943611198906,Freezing,High,Calm
1.0,80,2.5,95.0,overcast,991.59,0,Winter,1.5,mountain,Snowy,80.0,237.5,32.0,0.0,1.252762968495368,0.9162907318741551,Cold,High,Calm
-7.0,88,12.5,98.0,overcast,980.31,1,Winter,3.0,inland,Snowy,-616.0,1225.0,22.0,0.6931471805599453,2.6026896854443837,1.3862943611198906,Freezing,High,Breezy
-9.0,79,2.5,56.0,overcast,995.49,1,Winter,3.0,mountain,Snowy,-711.0,140.0,19.75,0.6931471805599453,1.252762968495368,1.3862943611198906,Freezing,High,Calm
18.0,77,15.0,62.0,partly cloudy,1003.14,0,Spring,5.0,coastal,Rainy,1386.0,930.0,12.833333333333334,0.0,2.772588722239781,1.791759469228055,Moderate,High,Breezy
23.0,59,10.5,32.0,partly cloudy,1008.34,3,Winter,6.5,inland,Cloudy,1357.0,336.0,7.866666666666666,1.3862943611198906,2.4423470353692043,2.0149030205422647,Moderate,Medium,Breezy
-3.0,73,8.0,72.0,overcast,987.45,1,Winter,2.0,mountain,Snowy,-219.0,576.0,24.333333333333332,0.6931471805599453,2.1972245773362196,1.0986122886681098,Freezing,High,Calm
-10.0,70,17.0,67.0,overcast,993.83,1,Winter,2.5,inland,Snowy,-700.0,1139.0,20.0,0.6931471805599453,2.8903717578961645,1.252762968495368,Freezing,High,Breezy
12.0,73,12.5,93.0,overcast,1001.51,2,Autumn,4.5,coastal,Rainy,876.0,1162.5,13.272727272727273,1.0986122886681098,2.6026896854443837,1.7047480922384253,Cold,High,Breezy
4.0,70,14.5,54.0,overcast,991.48,0,Winter,4.0,inland,Snowy,280.0,783.0,14.0,0.0,2.740840023925201,1.6094379124341003,Cold,High,Breezy
41.0,97,32.5,91.0,partly cloudy,1001.73,1,Winter,3.5,coastal,Rainy,3977.0,2957.5,21.555555555555557,0.6931471805599453,3.5115454388310208,1.5040773967762742,Hot,High,Windy
16.0,98,19.5,92.0,overcast,1007.21,3,Summer,4.5,coastal,Rainy,1568.0,1794.0,17.818181818181817,1.3862943611198906,3.0204248861443626,1.7047480922384253,Moderate,High,Breezy
1.0,76,1.5,79.0,overcast,983.45,0,Winter,2.5,inland,Snowy,76.0,118.5,21.714285714285715,0.0,0.9162907318741551,1.252762968495368,Cold,High,Calm
33.0,78,12.5,55.0,overcast,1009.8,1,Summer,4.5,coastal,Rainy,2574.0,687.5,14.181818181818182,0.6931471805599453,2.6026896854443837,1.7047480922384253,Hot,High,Breezy
30.0,64,14.0,25.0,overcast,1005.25,3,Winter,5.5,inland,Cloudy,1920.0,350.0,9.846153846153847,1.3862943611198906,2.70805020110221,1.8718021769015913,Hot,High,Breezy
23.0,67,17.5,92.0,overcast,997.5,0,Summer,4.0,coastal,Rainy,1541.0,1610.0,13.4,0.0,2.917770732084279,1.6094379124341003,Moderate,High,Breezy
30.0,81,10.5,75.0,overcast,1009.64,0,Autumn,4.0,mountain,Rainy,2430.0,787.5,16.2,0.0,2.4423470353692043,1.6094379124341003,Hot,High,Breezy
30.0,87,15.5,70.0,overcast,993.64,1,Summer,4.0,coastal,Rainy,2610.0,1085.0,17.4,0.6931471805599453,2.803360380906535,1.6094379124341003,Hot,High,Breezy
2.0,98,13.5,93.0,partly cloudy,987.75,1,Winter,4.5,inland,Snowy,196.0,1255.5,17.818181818181817,0.6931471805599453,2.6741486494265287,1.7047480922384253,Cold,High,Breezy
26.0,79,9.5,14.0,partly cloudy,1010.91,2,Summer,6.5,inland,Cloudy,2054.0,133.0,10.533333333333333,1.0986122886681098,2.3513752571634776,2.0149030205422647,Hot,High,Calm
-11.0,91,9.0,74.0,overcast,988.61,4,Winter,2.5,mountain,Snowy,-1001.0,666.0,26.0,1.6094379124341003,2.302585092994046,1.252762968495368,Freezing,High,Calm
3.0,81,18.5,59.0,overcast,985.54,1,Winter,3.0,mountain,Snowy,243.0,1091.5,20.25,0.6931471805599453,2.970414465569701,1.3862943611198906,Cold,High,Breezy
14.0,76,17.5,66.0,overcast,1009.05,0,Winter,2.0,mountain,Rainy,1064.0,1155.0,25.333333333333332,0.0,2.917770732084279,1.0986122886681098,Cold,High,Breezy
13.0,66,13.5,58.0,overcast,1008.7,1,Autumn,1.5,coastal,Rainy,858.0,783.0,26.4,0.6931471805599453,2.6741486494265287,0.9162907318741551,Cold,High,Breezy
27.0,97,9.5,51.0,overcast,1005.04,1,Summer,4.5,coastal,Rainy,2619.0,484.5,17.636363636363637,0.6931471805599453,2.3513752571634776,1.7047480922384253,Hot,High,Calm
10.0,98,14.0,97.0,overcast,1007.79,1,Spring,4.5,inland,Rainy,980.0,1358.0,17.818181818181817,0.6931471805599453,2.70805020110221,1.7047480922384253,Cold,High,Breezy
11.0,80,8.0,93.0,overcast,1003.54,3,Spring,1.0,mountain,Rainy,880.0,744.0,40.0,1.3862943611198906,2.1972245773362196,0.6931471805599453,Cold,High,Calm
29.0,79,19.5,93.0,partly cloudy,1000.65,3,Autumn,5.0,coastal,Rainy,2291.0,1813.5,13.166666666666666,1.3862943611198906,3.0204248861443626,1.791759469228055,Hot,High,Breezy
-10.0,75,8.5,94.0,overcast,990.03,0,Winter,4.0,mountain,Snowy,-750.0,799.0,15.0,0.0,2.2512917986064953,1.6094379124341003,Freezing,High,Calm
-9.0,96,19.5,67.0,overcast,992.97,1,Winter,1.5,mountain,Snowy,-864.0,1306.5,38.4,0.6931471805599453,3.0204248861443626,0.9162907318741551,Freezing,High,Breezy
31.0,60,3.0,47.0,partly cloudy,1012.14,4,Summer,6.5,mountain,Cloudy,1860.0,141.0,8.0,1.6094379124341003,1.3862943611198906,2.0149030205422647,Hot,Medium,Calm
30.0,53,11.5,41.0,overcast,1010.52,3,Winter,5.5,coastal,Cloudy,1590.0,471.5,8.153846153846153,1.3862943611198906,2.5257286443082556,1.8718021769015913,Hot,Medium,Breezy
-6.0,78,5.0,64.0,overcast,986.38,1,Winter,1.5,inland,Snowy,-468.0,320.0,31.2,0.6931471805599453,1.791759469228055,0.9162907318741551,Freezing,High,Calm
34.0,52,7.0,13.0,overcast,1009.3,1,Summer,8.0,coastal,Cloudy,1768.0,91.0,5.777777777777778,0.6931471805599453,2.0794415416798357,2.1972245773362196,Hot,Medium,Calm
42.0,83,22.0,95.0,overcast,1008.5,11,Winter,6.0,mountain,Cloudy,3486.0,2090.0,11.857142857142858,2.4849066497880004,3.1354942159291497,1.9459101490553132,Hot,High,Breezy
19.0,31,9.5,82.0,cloudy,985.1,3,Autumn,6.5,inland,Snowy,589.0,779.0,4.133333333333334,1.3862943611198906,2.3513752571634776,2.0149030205422647,Moderate,Medium,Calm
33.0,72,11.0,53.0,partly cloudy,997.11,2,Autumn,3.0,coastal,Rainy,2376.0,583.0,18.0,1.0986122886681098,2.4849066497880004,1.3862943611198906,Hot,High,Breezy
-4.0,80,17.5,74.0,overcast,985.36,1,Winter,3.0,mountain,Snowy,-320.0,1295.0,20.0,0.6931471805599453,2.917770732084279,1.3862943611198906,Freezing,High,Breezy
33.0,64,10.0,26.0,partly cloudy,1007.79,2,Winter,7.0,mountain,Cloudy,2112.0,260.0,8.0,1.0986122886681098,2.3978952727983707,2.0794415416798357,Hot,High,Calm
-18.0,87,22.0,94.0,overcast,997.7,12,Winter,2.5,mountain,Snowy,-1566.0,2068.0,24.857142857142858,2.5649493574615367,3.1354942159291497,1.252762968495368,Freezing,High,Breezy
-13.0,100,6.0,82.0,overcast,991.35,3,Winter,0.0,mountain,Snowy,-1300.0,492.0,100.0,1.3862943611198906,1.9459101490553132,0.0,Freezing,High,Calm
-2.0,87,3.5,59.0,overcast,998.78,1,Winter,2.0,mountain,Snowy,-174.0,206.5,29.0,0.6931471805599453,1.5040773967762742,1.0986122886681098,Freezing,High,Calm
15.0,76,9.5,19.0,partly cloudy,1003.2,2,Winter,8.0,mountain,Cloudy,1140.0,180.5,8.444444444444445,1.0986122886681098,2.3513752571634776,2.1972245773362196,Cold,High,Calm
